type,category,name,symbol,unit,price,change,change_percent,weekly_percent,monthly_percent,ytd_percent,yoy_percent,date,url,scraped_at
stock,Europe,SBITOP,SBITOP,Index Points,3251.0,20.0,-0.6,1.29,4.73,29.84,33.4,Aug/05,https://tradingeconomics.com/slovenia/stock-market,2026-08-06T12:18:04.601116
stock,Europe,Vilnius,Vilnius,Index Points,1501.0,4.0,-0.27,-0.25,2.0,12.22,24.4,Aug/05,https://tradingeconomics.com/lithuania/stock-market,2026-08-06T12:18:04.601176
stock,Europe,BELEX 15,BELEX 15,Index Points,1235.0,2.0,0.18,2.71,2.7,-3.13,1.16,Aug/05,https://tradingeconomics.com/serbia/stock-market,2026-08-06T12:18:04.601236
stock,Europe,EU600,EU600,Index Points,657.14,0.0,0.0,1.11,1.68,10.86,20.34,Aug/06,https://tradingeconomics.com/stoxx:ind,2026-08-06T12:18:04.601300
stock,Europe,EU100,EU100,Index Points,1958.0,0.0,-0.01,3.04,1.21,13.77,25.28,Aug/05,https://tradingeconomics.com/n100:ind,2026-08-06T12:18:04.601359
stock,Europe,EU50,EU50,Index Points,6498.0,18.0,0.27,2.42,2.82,12.2,21.86,Aug/06,https://tradingeconomics.com/euro-area/stock-market,2026-08-06T12:18:04.601422
stock,Europe,EU350,EU350,Index Points,2670.85,0.25,0.01,1.85,0.98,11.09,22.12,Aug/05,https://tradingeconomics.com/spe350:ind,2026-08-06T12:18:04.601485
stock,Europe,SASX 10,SASX 10,Index Points,1534.0,8.0,-0.52,-0.19,0.52,1.07,6.55,Aug/05,https://tradingeconomics.com/bosnia-and-herzegovina/stock-market,2026-08-06T12:18:04.601544
stock,Europe,CSE General,CSE General,Index Points,318.0,1.0,-0.3,2.75,1.55,14.37,15.25,Aug/05,https://tradingeconomics.com/cyprus/stock-market,2026-08-06T12:18:04.601611
stock,Europe,Tallinn,Tallinn,Index Points,2154.0,0.0,-0.01,0.42,2.43,4.96,5.89,Aug/05,https://tradingeconomics.com/estonia/stock-market,2026-08-06T12:18:04.601673
stock,Europe,Riga,Riga,Index Points,925.0,3.0,-0.32,0.91,2.18,-0.03,1.07,Aug/05,https://tradingeconomics.com/latvia/stock-market,2026-08-06T12:18:04.601732
stock,Europe,ICEX,ICEX,Index Points,2048.0,11.0,0.53,0.68,0.08,-5.83,-1.81,Aug/05,https://tradingeconomics.com/iceland/stock-market,2026-08-06T12:18:04.601791
